Month,javascript,sql,java,c#,php,python,c++,ruby,c,objective-c
1,3171,1066,2449,740,607,1200,358,735,1020,155
2,3157,1132,2502,798,648,1293,378,758,1540,147
3,3485,1097,2795,869,583,1228,462,853,1440,127
4,3187,1009,2549,825,546,1158,466,720,1470,144
5,3045,997,2271,824,510,1220,402,616,1230,138
6,3023,1066,2206,776,521,1209,428,644,1020,111
7,2958,996,2123,726,490,1362,449,559,1140,79
8,2949,1101,2145,803,503,1298,330,552,920,82
9,2743,925,2056,615,440,1154,336,526,1440,79
10,2836,1024,2172,705,457,1322,401,505,1440,77
11,2722,1052,2198,655,437,1381,403,522,1510,69
12,2864,1024,2198,634,444,1370,388,544,1190,56
Total number in 2016,36140,12489,27664,8970,6186,15195,4801,7534,15360,1264
